PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
127081149001002,279,1458,701,237,42,28,13,609
126866429001002,258,499,588,110,16,43,55,1883
126806909001002,300,1828,735,110,11,114,53,21
126777277001002,99,271,294,24,57,88,13,2526
127042237001002,503,1243,743,236,4,91,13,1744
126725053001002,300,1221,610,241,41,129,13,1410
126995453001002,304,2519,608,220,60,129,63,759
126976189001002,183,1256,371,208,37,10,13,1941
126803197001002,210,1458,284,237,9,28,57,609
126832957001002,379,12,364,198,60,129,13,377
126768445001002,82,653,649,76,37,41,13,2378
127462013001002,477,1124,735,83,60,129,43,2493
127179133001002,151,1852,747,236,28,129,61,297
127641149001002,410,1221,650,76,8,22,13,1410
127568317001002,343,15,283,126,37,126,54,630
127011709001002,319,1358,625,26,40,20,13,2349
127583293001002,223,1221,634,208,42,66,13,1410
126978173001002,273,2597,304,208,24,63,38,2517
127137469001002,56,869,599,143,31,22,13,767
126760509001002,31,560,473,237,40,91,63,227
126978813001002,280,1531,402,208,40,118,60,1364
126853949001002,151,2782,294,237,13,95,13,1968
127473149001002,300,1221,610,48,1,33,44,1410
127513597001002,407,1221,634,17,37,88,13,1410
127325821001002,550,2832,691,208,59,131,1,1904
127062845001002,432,669,747,161,59,128,41,2521
127022077001002,427,2367,294,115,37,17,13,263
127329853001002,550,499,657,110,60,25,34,1667
127004221001002,338,91,735,208,37,12,4,21
127336317001002,27,828,426,37,43,22,13,619
127353021001002,151,2832,691,208,30,128,1,1904
127346749001002,71,1221,585,47,8,22,13,1410
127123773001002,305,828,735,208,44,129,13,137
127578301001002,103,685,294,161,8,22,5,2165
127347517001002,99,302,757,156,38,103,13,1301
127247869001002,434,1828,735,208,50,136,13,636
127506941001002,408,1221,588,208,60,129,55,1410
127841789001002,92,1090,459,223,29,88,13,308
127279357001002,343,1255,746,110,37,68,55,335
127387837001002,338,1728,657,161,6,28,21,1543
127480637001002,110,898,735,208,15,66,13,2517
127421245001002,99,1883,743,138,33,129,49,561
127557053001002,522,2297,294,128,37,11,13,5
127399613001002,489,2386,708,208,8,22,72,2366
127719421001002,215,1531,283,208,3,119,13,632
127704125001002,47,319,634,79,37,15,73,2116
127713405001002,151,296,738,161,10,54,13,639
127826685001002,92,1221,650,208,33,109,13,1410
127647869001002,151,523,735,208,40,68,43,2517
127846909001002,384,2297,294,237,49,88,13,5
127808061001002,469,464,447,236,60,129,35,2140
127761789001002,550,1964,294,157,44,22,13,2437
127757245001002,312,354,294,226,11,33,29,624
127774141001002,215,104,735,48,4,60,13,1496
127301181001002,427,2378,735,80,60,129,36,1073
127347197001002,71,1739,411,208,18,129,13,189
127496317001002,304,2519,747,3,37,71,13,2131
127380925001002,304,1618,294,122,59,128,58,2422
127728125001002,258,205,413,134,37,108,13,717
127813245001002,242,1384,261,208,37,88,1,476
127878269001002,417,1473,266,155,25,78,13,1883
127797693001002,27,2898,735,226,60,95,76,657
127827773001002,8,2429,459,61,34,43,13,2328
127621757001002,309,2688,666,56,60,4,34,1190
127621117001002,223,2688,657,201,37,75,64,1190
126681981001002,449,2429,447,236,37,88,61,2140
126716669001002,5,1656,743,95,50,76,13,1332
126669629001002,207,2898,327,211,8,78,13,1206
126772477001002,257,831,294,168,60,129,13,498
126771901001002,92,2909,546,165,60,23,13,1705
126719293001002,503,335,657,133,37,88,13,233
127179901001002,151,2379,677,66,60,129,16,2129
127122045001002,27,2519,608,115,37,88,23,771
126997373001002,304,1533,396,101,37,88,43,2513
127142141001002,82,951,753,146,1,129,13,1705
127448957001002,212,2898,752,208,2,14,13,739
127272381001002,332,1997,752,208,41,88,61,754
127178365001002,151,1508,227,41,60,129,6,1213
127069437001002,215,1414,634,161,60,7,21,1212
127172157001002,16,1638,437,208,60,50,23,1705
127500541001002,404,2815,436,237,1,88,13,720
127383549001002,304,2898,747,237,15,104,5,1558
127540989001002,368,499,585,208,1,38,68,1176
127327293001002,115,1123,321,123,60,133,13,638
127427005001002,151,1852,735,95,60,129,16,1721
127478589001002,538,2452,413,208,15,56,13,1369
127628797001002,553,483,432,237,29,98,13,392
127341309001002,64,1039,478,208,40,68,12,494
126938045001002,128,446,628,149,37,88,57,753
126806845001002,300,1380,764,110,11,96,45,689
126978749001002,199,488,403,208,37,78,13,1368
127508733001002,27,855,402,51,60,68,13,2513
127611837001002,332,1549,304,208,36,70,13,668
127886141001002,332,1920,752,208,42,100,5,1978
127311805001002,473,329,735,208,46,98,35,2548
127509373001002,86,1343,286,161,37,130,13,137
127605757001002,398,2898,283,122,60,86,13,1558
127641661001002,96,2221,347,189,46,44,13,1369
127609341001002,368,2745,735,26,18,11,75,2548
127567101001002,304,2742,118,131,18,30,54,1971
127641021001002,92,1785,676,237,46,6,5,1005
127668221001002,260,2898,752,70,60,129,13,448
127890941001002,522,526,679,110,10,98,13,1530
127796605001002,478,2187,754,237,60,129,7,1343
127829821001002,99,866,9,77,10,28,13,330
128018109001002,529,1078,735,208,26,88,48,636
127246653001002,294,596,735,204,52,43,13,1071
126700861001002,215,2688,588,208,18,129,38,1190
126699645001002,215,2688,610,24,60,95,64,1190
126750077001002,287,2774,294,48,5,42,33,1456
126700669001002,485,2688,585,48,32,43,64,1190
126669181001002,27,615,689,48,29,22,4,1309
126805181001002,112,1861,322,94,8,22,36,2044
126807677001002,300,529,214,203,15,43,29,900
126707645001002,224,2460,689,30,9,3,35,910
126695933001002,168,1164,746,76,37,30,24,1841
126729661001002,234,1272,294,31,37,88,52,507
126791933001002,223,2688,610,208,47,43,59,1190
126770173001002,513,1456,107,48,37,28,38,132
126799101001002,244,2717,447,205,57,22,45,1110
126849533001002,277,2834,304,208,37,20,33,412
126771837001002,92,2193,735,208,56,91,14,841
126954877001002,223,2862,294,214,5,129,70,2114
126957629001002,333,2071,634,120,37,88,64,1190
126970621001002,244,2429,447,15,50,9,40,1751
126985341001002,300,354,284,48,47,48,33,1501
127072189001002,221,2898,747,43,8,26,57,1522
127248509001002,300,1796,597,1,48,46,42,1261
127003453001002,332,1125,689,64,36,50,42,884
127063613001002,151,2429,459,71,26,91,33,1878
127075453001002,149,2429,447,126,40,91,9,648
127148477001002,92,1661,304,208,11,9,55,1422
127206013001002,223,2688,585,57,27,88,64,1190
126974077001002,258,1594,284,39,43,129,69,1156
127025213001002,444,881,459,131,41,98,10,586
127101053001002,263,501,738,64,24,63,45,704
127103421001002,401,1758,746,109,48,100,10,362
126920125001002,549,2389,657,237,60,129,51,830
127291901001002,383,501,752,145,19,49,65,704
127126525001002,27,2688,346,212,60,70,64,1190
127149949001002,92,2429,459,155,37,10,38,1755
126938941001002,285,1555,432,208,15,96,33,1501
126983933001002,309,2519,608,9,60,129,33,522
127209533001002,224,1282,311,177,12,4,9,1541
127195773001002,284,2688,346,48,29,129,64,1190
127305085001002,247,511,1,205,17,31,9,1295
127187197001002,277,1759,735,208,48,100,2,1034
127386493001002,332,1221,657,44,60,129,43,1258
127471293001002,280,1644,1,147,33,25,3,1298
127347325001002,99,355,284,198,47,113,27,2252
127551421001002,224,1221,743,188,46,48,48,89
127137085001002,54,2891,747,156,37,88,23,1860
127337277001002,27,1931,10,94,8,27,77,149
127198973001002,282,1508,584,70,37,88,33,1501
127567741001002,482,617,432,208,37,96,33,2500
127563133001002,92,617,349,110,30,66,33,2500
127313597001002,484,782,522,128,7,30,44,1305
127337021001002,174,296,304,154,40,91,36,907
127622397001002,332,2688,433,49,28,129,64,1190
127505597001002,282,1385,747,237,37,88,52,732
127621949001002,150,2688,584,59,60,129,64,1190
127590269001002,304,283,286,150,6,88,77,278
127723517001002,224,840,294,48,14,70,23,1118
127570813001002,99,1289,689,225,10,108,42,1211
127536381001002,151,119,376,110,60,81,60,2144
127282813001002,222,1883,747,23,60,129,77,358
127484413001002,289,30,350,120,52,42,25,187
127664637001002,249,1452,304,237,8,125,33,1501
127737341001002,91,617,305,110,60,129,63,2500
127528637001002,323,282,426,208,28,22,33,226
127645565001002,129,2108,412,211,5,129,23,998
