PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
124571199001001,465,604,691,133,31,26,67,1486
125236607001001,233,1100,410,181,1,38,51,1276
124566783001001,411,1916,291,227,31,21,12,399
124754495001001,301,1709,291,227,9,30,12,2022
124547455001001,184,85,725,211,19,58,12,1201
124330239001001,188,978,631,201,51,119,12,1124
124334335001001,215,164,684,227,41,28,12,1800
124365247001001,76,85,725,211,12,99,12,1201
124811519001001,189,301,283,211,11,37,16,509
124965311001001,188,978,604,13,31,81,12,1194
124709759001001,232,1005,405,211,48,38,12,1582
124731007001001,254,1989,604,238,35,119,12,511
125173311001001,94,448,747,238,27,81,12,1063
124790015001001,88,978,578,211,6,20,20,1124
124572735001001,232,1005,283,56,12,38,12,1582
124875711001001,182,2283,686,79,51,28,12,484
124743167001001,289,1210,398,238,31,63,12,542
124320767001001,94,1499,728,23,51,119,21,437
125005503001001,254,1228,300,211,37,38,12,899
124419711001001,88,2284,322,163,51,119,66,354
124428607001001,144,1252,725,211,51,28,66,1012
125148991001001,46,1408,725,201,40,91,12,1201
124707327001001,215,164,684,227,12,38,64,1800
125299135001001,411,286,291,227,9,47,12,490
124806143001001,182,435,247,211,50,118,4,1062
125339583001001,238,978,424,211,12,38,12,1124
124635711001001,110,1404,309,211,38,89,36,557
124928319001001,76,85,725,211,7,123,12,1201
125081151001001,131,1124,291,211,40,106,12,484
125263615001001,276,981,631,215,51,59,12,951
125299327001001,411,2233,686,211,3,119,12,1558
125150911001001,55,1197,684,211,25,38,12,569
125166975001001,88,1970,424,163,19,110,12,493
125150271001001,50,1647,275,68,33,84,12,1163
125405823001001,411,286,291,227,26,95,12,490
125273215001001,289,535,385,211,11,119,12,1955
125461439001001,378,85,725,211,19,99,12,1201
124981503001001,232,1005,283,50,51,87,12,1582
124449919001001,233,2104,411,151,50,7,6,1014
124712319001001,425,694,410,238,51,119,80,1613
124992127001001,250,1863,682,50,50,118,46,666
125273279001001,289,1597,397,238,31,45,39,542
124741247001001,289,1597,397,238,36,45,12,542
124815167001001,215,1410,511,113,45,91,32,1732
125007295001001,263,913,377,163,40,113,12,1334
125358527001001,182,1211,280,211,4,84,12,496
124659967001001,79,1717,654,157,34,81,12,1350
124574463001001,435,1703,553,101,12,38,12,231
124409279001001,25,2284,281,44,51,111,12,1246
124375551001001,144,1666,300,211,51,119,75,1086
124284607001001,250,2284,742,163,33,88,12,354
124449215001001,233,1722,513,46,51,119,12,1063
124711999001001,233,246,641,50,8,81,12,951
124608127001001,363,1349,723,74,51,119,12,2039
124897151001001,459,1707,281,163,51,28,12,2015
125159295001001,81,285,733,238,30,119,12,248
125354687001001,144,1790,663,238,40,60,12,951
125166719001001,88,1110,728,163,48,38,12,2031
125054847001001,25,675,275,211,33,84,57,119
124989311001001,233,834,674,211,35,40,12,1855
125089215001001,188,777,642,238,51,119,28,1739
125259839001001,128,2284,281,211,2,3,12,554
124979775001001,215,1110,565,237,12,71,12,1772
125350143001001,64,2284,318,124,40,91,12,955
125322943001001,25,675,733,211,41,84,12,119
125082239001001,137,1783,621,107,12,98,12,2016
125352191001001,137,1783,518,73,37,89,12,2016
125272255001001,289,1211,393,227,33,84,30,1552
125435583001001,188,2183,410,211,38,89,81,2008
125529407001001,188,2284,737,238,30,11,12,1246
125294655001001,378,1970,748,163,19,58,65,493
124573567001001,215,1110,733,211,12,38,27,1772
124599743001001,188,1528,412,211,38,10,12,1246
124800191001001,131,2284,733,238,40,47,12,551
124682623001001,137,1783,517,184,31,49,12,2016
124819327001001,83,210,399,238,43,95,12,1134
124290495001001,254,1162,39,87,20,62,11,89
124354175001001,122,461,683,149,31,81,40,682
124351615001001,417,2044,105,200,22,95,10,1280
124361151001001,25,2114,581,211,51,4,67,940
124691583001001,182,2114,654,50,41,119,67,940
124677311001001,123,1822,581,157,36,116,11,1858
