PanjivaRecordID,ConsigneePanjivaID,HSCode,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
9270399001001,896,228,300,5,678
9209023001001,1087,143,84,5,151
9213119001001,248,168,357,8,486
9213887001001,1120,216,369,10,8
9218175001001,442,260,300,2,158
9224831001001,1507,474,50,8,853
9256255001001,539,247,202,2,371
9207679001001,141,334,357,4,860
9207423001001,467,399,213,5,62
9208063001001,1564,89,294,3,24
9208511001001,1304,447,57,5,151
9208703001001,884,151,483,10,151
9208767001001,884,425,541,2,151
9208959001001,884,376,260,6,151
9209215001001,845,79,549,2,47
9209279001001,1087,319,479,5,151
9209855001001,421,127,610,3,151
9209983001001,611,56,520,5,543
9210047001001,1785,448,291,5,543
9210239001001,100,101,536,1,19
9210303001001,100,100,96,2,19
9210367001001,513,494,266,3,40
9210431001001,950,278,536,3,19
9210495001001,1665,79,538,2,686
9211071001001,1355,487,605,11,231
9211199001001,787,16,587,3,543
9211391001001,1222,33,520,2,464
9211775001001,1236,125,265,8,75
9212415001001,372,23,617,3,552
9212479001001,636,27,604,2,468
9213823001001,502,216,478,5,966
9213951001001,1517,216,617,3,467
9214335001001,41,216,639,8,854
9214527001001,534,248,520,9,986
9214591001001,1558,403,520,7,25
9214655001001,147,474,520,2,80
9214911001001,1713,442,520,2,432
9214975001001,131,240,184,11,486
9215039001001,691,424,520,8,699
9215103001001,131,213,520,11,486
9215231001001,534,424,520,2,986
9215295001001,1713,181,520,2,432
9215423001001,518,143,226,5,586
9215487001001,1222,61,520,2,464
9215615001001,416,273,520,2,678
9215679001001,524,257,421,5,263
9215807001001,167,159,523,9,986
9243071001001,715,100,328,7,893
9215935001001,1744,338,576,5,78
9215999001001,920,140,125,3,17
9216127001001,537,225,512,3,927
9216383001001,1097,179,378,5,1002
9216447001001,780,159,54,11,113
9216639001001,928,101,296,5,19
9216703001001,1482,227,520,5,38
9216767001001,545,103,587,3,596
9217023001001,144,112,546,2,19
9217151001001,492,24,38,8,26
9217215001001,1796,331,36,9,33
9217279001001,711,16,224,2,41
9217535001001,440,101,524,10,19
9217599001001,440,101,523,1,19
9217727001001,394,138,224,9,105
9218047001001,1234,308,519,2,19
9218111001001,638,16,367,11,41
9218431001001,583,79,73,2,47
9218687001001,1234,104,464,3,19
9218815001001,144,100,546,1,19
9219519001001,144,101,546,4,19
9219711001001,465,375,546,2,47
9220031001001,435,69,543,3,917
9220095001001,912,141,542,8,687
9220415001001,913,140,428,5,17
9220671001001,643,239,173,2,164
9221375001001,110,216,546,7,340
9221503001001,974,441,378,2,132
9221759001001,707,338,546,8,78
9222015001001,917,140,81,0,17
9222079001001,389,141,233,5,158
9222143001001,1730,141,7,5,17
9222527001001,691,319,520,8,699
9222655001001,1050,216,369,5,437
9222783001001,1325,216,289,2,326
9222911001001,1726,16,549,5,543
9223039001001,406,109,55,3,120
9223551001001,465,81,624,2,47
9223615001001,1714,16,615,4,41
9223807001001,1219,101,400,2,19
9224511001001,636,4,59,5,847
9224959001001,822,100,520,4,596
9225087001001,128,95,349,5,136
9225343001001,1661,79,458,2,47
9225535001001,928,100,324,2,19
9225663001001,928,102,271,5,19
9225727001001,1779,379,520,5,970
9225855001001,522,248,482,3,986
9226175001001,53,359,221,6,627
9226239001001,455,140,647,6,412
9226559001001,387,463,138,3,917
9226815001001,990,223,482,7,927
9243135001001,1188,350,221,6,809
9227391001001,1465,230,482,1,107
9227711001001,1248,240,141,4,486
9227967001001,395,217,141,5,17
9228223001001,994,282,280,1,25
9228287001001,1504,231,539,2,947
9228351001001,870,443,280,5,70
9228479001001,1031,137,520,2,187
9228543001001,1146,494,542,7,113
9228735001001,911,16,543,9,41
9228863001001,506,101,543,0,19
9229247001001,1710,136,542,9,970
9229311001001,1034,100,543,1,196
9229375001001,909,128,543,1,809
9229503001001,535,134,583,5,263
9229631001001,837,137,543,9,69
9229695001001,870,392,280,3,41
9230719001001,506,101,543,8,19
9230975001001,6,346,523,5,997
9231103001001,1716,109,466,2,191
9231167001001,7,115,92,4,928
9231615001001,860,101,48,5,596
9232255001001,312,264,357,2,904
9232447001001,327,373,314,2,456
9232575001001,230,458,55,2,11
9232895001001,1633,240,328,1,848
9233279001001,1182,140,482,4,19
9233407001001,562,228,634,2,432
9233471001001,1520,231,56,6,209
9233535001001,1376,156,175,2,464
9233599001001,1376,224,196,2,464
9234047001001,24,449,653,2,522
9234303001001,1522,284,615,5,988
9234367001001,1698,22,328,11,956
9234495001001,411,445,35,9,497
9234559001001,969,254,542,3,596
9234623001001,911,24,310,3,41
9234687001001,1427,91,482,2,561
9234879001001,520,53,364,3,158
9243199001001,133,79,532,7,47
9235071001001,519,105,482,7,669
9235135001001,1182,106,208,6,19
9235391001001,1070,102,482,6,636
9235455001001,634,2,482,6,19
9235583001001,450,15,536,6,224
9235711001001,834,106,221,8,584
9235775001001,590,119,482,2,211
9235839001001,520,192,482,4,158
