PanjivaRecordID,Carrier,ConsigneePanjivaID,GoodsShipped,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
257081001002,20,170,110,269,216,20,285
257529001002,14,962,34,27,290,18,444
257593001002,18,901,20,324,127,29,419
257785001002,19,33,84,92,94,44,113
259257001002,13,1128,28,214,220,63,616
259321001002,22,890,110,6,94,35,129
259513001002,12,999,20,12,278,20,615
259641001002,8,1495,18,18,25,35,198
259705001002,4,811,34,102,106,29,72
261881001002,11,209,34,92,90,2,97
262713001002,14,584,42,57,25,20,286
262777001002,14,1115,110,298,305,52,407
262841001002,14,410,115,24,196,8,272
262969001002,20,1106,34,74,74,62,406
263033001002,2,1585,110,165,189,20,524
263929001002,1,577,29,181,191,41,552
263993001002,15,899,81,278,277,58,225
264057001002,15,120,18,226,95,31,141
264121001002,8,627,81,278,289,37,225
264185001002,15,882,20,190,138,30,152
264249001002,23,697,42,212,221,12,193
264313001002,15,466,34,212,289,41,406
264377001002,25,1436,115,12,21,53,124
264441001002,20,484,20,116,303,20,615
264889001002,11,12,15,48,191,4,33
266361001002,2,1369,20,324,214,20,443
258041001002,3,1106,100,91,324,33,461
258297001002,23,861,20,238,96,23,470
258489001002,1,1273,20,318,301,27,229
258617001002,1,1382,115,212,215,14,272
258745001002,1,108,34,225,246,13,67
258809001002,13,584,42,92,353,21,286
258873001002,1,375,110,108,114,18,311
258937001002,1,345,34,195,221,7,67
259001001002,13,697,61,199,180,20,87
259065001002,1,272,34,19,248,13,67
259193001002,13,1172,34,308,257,20,541
260473001002,6,1080,34,109,172,20,406
260537001002,10,539,58,219,32,28,93
260601001002,0,288,34,61,114,20,475
260793001002,6,376,114,170,274,53,413
262265001002,4,912,20,303,296,33,439
262393001002,13,1550,20,281,14,15,514
262457001002,0,985,20,197,60,20,353
262521001002,6,633,20,144,303,20,588
262585001002,14,290,20,42,38,20,105
264697001002,10,460,18,42,106,34,524
264953001002,13,1550,20,0,189,55,439
265017001002,9,1070,20,330,289,20,503
265145001002,20,763,101,80,86,18,572
265785001002,7,1294,58,301,345,55,93
266169001002,17,1378,20,240,6,48,100
266425001002,4,958,20,113,139,33,377
266617001002,17,1378,20,162,231,20,373
266681001002,4,1378,115,176,185,36,396
266745001002,17,1378,20,15,325,53,620
257209001002,3,834,114,300,275,57,572
257273001002,23,839,20,208,52,20,554
257337001002,23,1297,20,265,67,16,340
257401001002,8,47,20,104,260,8,330
257657001002,10,1510,20,39,319,30,94
257721001002,25,1521,42,236,281,20,87
257913001002,11,579,28,9,75,20,350
257977001002,10,706,21,142,272,40,145
259769001002,10,372,62,48,84,16,13
259897001002,10,1326,34,14,296,41,362
260025001002,8,47,20,121,308,36,330
260089001002,14,47,115,240,127,8,35
260153001002,23,480,20,137,208,20,484
260281001002,2,1235,28,9,347,20,261
261049001002,14,1279,34,170,194,49,200
261113001002,11,264,44,24,23,10,221
261177001002,21,1281,26,24,329,50,84
261369001002,7,329,57,265,288,34,497
261433001002,23,22,20,6,275,52,522
261753001002,20,388,115,79,111,35,496
262009001002,23,329,57,17,288,14,165
262073001002,10,837,44,288,12,20,525
262137001002,4,325,57,277,265,59,386
262201001002,6,308,20,265,340,20,265
263097001002,22,254,34,74,136,13,321
263161001002,10,111,20,282,269,4,108
263225001002,17,1157,34,170,135,33,519
263353001002,21,35,44,250,59,20,160
263545001002,2,1326,34,40,165,41,362
263609001002,10,1082,81,40,254,13,548
263673001002,21,488,20,268,38,24,409
263737001002,4,766,20,263,303,45,615
263801001002,10,917,20,292,9,59,426
264633001002,13,75,81,142,249,20,225
264825001002,17,1448,26,289,158,50,84
265209001002,18,1105,21,38,40,47,643
265273001002,22,738,34,170,121,20,596
265337001002,4,1396,20,170,178,11,105
265465001002,4,220,42,191,333,20,87
265593001002,21,1560,115,212,6,34,166
257528001002,2,962,34,193,290,33,179
257592001002,18,109,20,105,170,20,318
257784001002,19,204,84,117,94,20,113
259448001002,15,73,28,294,96,1,303
259512001002,25,342,34,15,93,20,596
259576001002,4,1111,81,100,257,20,225
259640001002,23,939,110,45,335,39,198
261880001002,20,1238,82,92,94,60,531
262776001002,19,1080,34,318,114,20,406
262840001002,14,439,58,200,34,20,93
263928001002,0,1335,18,108,95,35,141
264120001002,15,870,108,309,255,33,243
264248001002,17,342,34,331,125,20,294
266360001002,7,607,20,263,240,20,443
258040001002,5,643,34,150,114,20,53
258168001002,16,166,126,256,127,50,51
258232001002,9,1584,110,123,316,35,532
258488001002,1,215,84,212,139,10,400
258616001002,4,103,115,191,329,20,166
258680001002,3,928,110,209,342,35,532
258744001002,1,1080,34,287,114,49,499
258872001002,1,1095,34,271,181,14,362
258936001002,1,557,34,49,221,17,540
259128001002,22,288,34,109,114,22,321
260472001002,23,212,34,143,302,13,143
260536001002,10,1426,20,148,178,3,615
262264001002,24,912,20,285,296,8,432
262328001002,5,747,115,5,5,53,166
262520001002,12,604,20,310,303,20,318
264952001002,13,610,34,317,5,16,406
265016001002,6,1171,20,330,258,20,163
265144001002,3,763,114,80,107,57,572
265784001002,7,1263,46,216,274,34,557
266168001002,16,1378,20,293,127,33,127
266424001002,9,742,20,113,65,33,219
266616001002,6,1378,20,240,60,33,358
266744001002,17,1554,20,84,108,15,326
257208001002,7,178,76,265,230,52,212
257272001002,19,834,114,265,275,58,154
257336001002,23,653,114,265,216,8,99
257400001002,4,47,20,104,22,33,575
257912001002,15,385,28,77,10,1,133
257976001002,10,1322,29,244,10,56,613
259896001002,10,332,34,43,50,13,72
260088001002,12,47,20,149,127,33,331
260152001002,23,1277,20,41,110,20,298
260280001002,21,1489,20,156,118,53,108
261048001002,14,1248,34,38,138,26,487
261176001002,14,609,115,24,319,39,146
261432001002,23,283,20,265,202,40,383
261752001002,20,822,114,113,273,0,572
261944001002,10,928,110,156,205,35,192
262136001002,24,325,57,277,132,50,510
263096001002,23,148,28,195,144,48,449
263160001002,12,286,110,129,17,35,563
263224001002,10,1505,110,203,321,7,532
263288001002,22,1114,34,109,163,13,321
263352001002,10,35,44,282,338,7,160
263672001002,15,1447,20,224,123,39,305
263800001002,10,558,21,109,165,28,598
264568001002,13,923,20,231,21,11,148
264632001002,4,285,42,71,119,17,25
264760001002,13,1192,34,270,343,13,143
264824001002,9,75,81,233,96,42,225
265272001002,4,1102,18,165,10,35,198
265592001002,21,751,115,119,33,20,166
257583001002,14,59,83,62,1,57,501
257775001002,17,76,42,92,8,1,193
259311001002,22,1070,20,228,351,20,189
259439001002,25,1191,81,269,38,20,225
259567001002,10,690,34,157,146,9,321
259631001002,12,1036,42,261,272,8,151
259695001002,23,1165,110,316,139,59,532
262703001002,18,103,115,24,211,20,166
262767001002,14,643,34,322,351,20,517
262831001002,14,466,34,65,251,20,406
263023001002,7,14,20,265,275,34,353
263983001002,4,955,20,262,247,20,361
264047001002,6,1504,20,172,243,20,495
264495001002,10,1101,34,183,9,41,143
264879001002,11,980,80,274,49,28,252
257263001002,25,607,20,68,243,20,427
258095001002,4,681,98,147,226,20,651
258159001002,17,1238,82,25,24,28,43
258223001002,23,939,110,253,335,57,524
258543001002,9,1627,16,16,23,50,220
258607001002,21,1015,20,145,151,61,377
258735001002,4,209,110,92,94,56,612
258927001002,1,1396,20,271,319,4,105
259055001002,1,1080,34,140,89,33,519
260463001002,23,1294,28,166,151,29,261
260527001002,0,864,26,244,253,44,232
261039001002,21,1174,42,212,221,58,286
262255001002,14,1390,20,95,14,20,514
262383001002,5,1353,34,316,50,13,72
262447001002,13,449,20,301,179,20,148
262511001002,6,753,20,154,303,33,329
262639001002,16,1055,106,317,117,20,1
264559001002,20,525,114,79,178,31,572
264687001002,10,1467,42,42,210,29,369
264943001002,13,882,20,85,200,27,533
265007001002,19,1345,21,218,228,21,223
266415001002,20,632,20,172,211,33,237
266607001002,13,1378,20,240,127,19,329
266735001002,15,1378,20,98,331,33,467
266799001002,20,290,20,113,189,58,237
257071001002,10,18,114,106,275,49,413
257199001002,4,834,114,265,188,50,413
257327001002,6,465,20,235,275,20,302
257391001002,3,998,123,113,175,22,574
