PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
107624766001002,262,292,490,233,31,120,15,240
107811198001002,206,1057,597,164,13,86,15,1242
108026558001002,94,306,652,53,36,118,78,1180
108004414001002,30,1321,271,232,7,15,15,437
107846142001002,90,614,712,232,49,37,15,633
107919038001002,41,704,695,184,1,84,65,1440
108064574001002,12,2376,551,259,47,95,43,1688
108032510001002,94,1459,695,146,36,82,12,643
107692862001002,155,762,263,232,36,70,4,2145
107682110001002,88,1321,271,232,6,20,24,437
107686270001002,94,556,715,196,36,82,13,1993
107577534001002,78,2260,271,246,22,25,3,2115
107597438001002,345,679,271,184,58,43,1,223
107757310001002,264,128,525,232,46,119,15,236
107763006001002,75,292,383,232,29,37,38,1644
108076478001002,206,1057,597,125,36,115,15,1242
107981630001002,21,1008,278,88,24,82,15,639
108076670001002,206,414,591,174,36,122,15,1774
107675902001002,78,721,263,184,58,85,72,557
108031486001002,94,257,494,23,36,73,15,1142
107782398001002,116,1398,372,161,56,120,15,1666
107675262001002,403,292,369,232,13,37,30,544
107985982001002,54,1686,707,248,58,62,15,1876
108052350001002,155,2285,536,89,7,52,15,1354
108279358001002,189,459,695,232,4,82,15,561
108097214001002,241,1836,303,53,19,92,7,2064
108214462001002,103,70,278,232,18,120,15,1003
108257086001002,322,1493,261,232,31,36,30,1644
108399934001002,17,1272,707,18,6,84,15,294
108384318001002,322,252,353,184,23,62,15,416
108488766001002,362,1526,695,7,13,37,15,942
108347774001002,88,2042,698,184,44,59,24,554
108451838001002,276,2374,712,260,39,20,15,402
108424254001002,140,130,640,232,25,5,15,389
108033790001002,94,391,406,258,48,80,30,394
107765694001002,79,592,271,231,36,10,5,2115
108148478001002,317,1425,652,3,53,27,15,1390
108220350001002,93,1856,271,16,36,57,15,646
108524414001002,130,1245,706,184,57,119,33,2109
108417214001002,94,1057,577,39,36,28,15,1242
108260350001002,356,1686,695,53,36,89,62,1876
108272382001002,527,849,703,86,58,120,2,556
108217214001002,88,1321,271,206,51,20,15,87
108289214001002,124,591,574,259,4,120,79,578
108301438001002,206,414,591,135,22,120,15,1774
108515902001002,94,975,707,178,29,107,15,2082
108328446001002,413,535,536,184,36,1,64,915
107966910001002,336,434,330,259,12,125,15,1688
107899646001002,135,2248,715,48,45,92,34,1567
108429054001002,180,1099,608,235,22,27,79,777
107666878001002,17,633,698,183,52,82,15,2081
107767038001002,80,1373,698,184,46,80,12,73
107663230001002,527,1940,406,259,37,120,64,1061
107750142001002,25,724,695,232,38,68,4,110
107779262001002,94,1985,629,258,41,112,15,2102
107714174001002,131,1360,381,232,36,82,40,1209
107986302001002,25,724,255,232,29,120,21,110
107792126001002,140,724,707,204,2,2,55,567
107790142001002,140,724,261,249,45,92,64,110
107595390001002,158,2374,435,259,2,54,15,1061
107638462001002,310,1699,372,50,12,36,70,539
108046590001002,331,724,695,232,13,52,15,110
107923646001002,193,649,494,259,35,37,15,1989
108313726001002,182,1177,707,259,10,30,2,271
108494270001002,25,1634,695,232,1,120,47,308
108257598001002,322,304,398,232,12,112,63,1341
108423678001002,36,724,698,232,45,62,15,544
108423998001002,140,724,713,184,45,1,77,110
108532286001002,198,603,397,113,58,107,15,1061
108532478001002,198,849,703,232,12,108,39,556
108631742001002,140,724,698,184,58,57,68,110
107494526001002,88,524,707,259,29,109,33,2082
107498814001002,98,624,716,166,55,67,80,623
107643390001002,322,2270,367,127,35,20,35,960
107631742001002,279,620,271,32,13,51,13,1225
107638654001002,456,1653,695,259,10,30,4,639
107651838001002,425,879,1,123,56,40,3,455
107569982001002,25,1959,120,44,7,20,4,1490
107567486001002,450,724,707,184,44,84,15,671
107628222001002,512,1443,1,97,7,70,3,1139
107566910001002,25,1260,384,221,7,20,77,1112
107638334001002,310,1734,698,12,12,36,73,1811
107697022001002,206,265,593,234,19,82,15,1056
107669182001002,25,1334,371,19,7,20,5,299
107669566001002,25,528,652,48,36,82,43,310
107697982001002,206,1057,555,103,36,6,69,1149
107668286001002,215,292,382,235,54,37,7,811
107682622001002,88,1057,558,232,9,82,43,1242
107669374001002,85,2011,388,143,36,51,37,884
107685310001002,461,1459,715,206,36,82,34,725
107686846001002,202,624,388,92,22,82,80,623
107711678001002,121,1334,367,136,33,119,36,1704
107712446001002,262,1192,383,201,56,37,26,482
107833726001002,262,2374,706,53,54,90,71,993
107789694001002,393,1346,406,158,45,92,34,807
107770686001002,11,2374,706,53,5,90,40,2009
107829502001002,241,1068,713,181,45,49,21,1250
107750654001002,468,724,698,53,23,59,28,2022
107849534001002,279,121,478,136,4,37,45,833
107838590001002,195,1691,371,13,13,37,36,1704
107851134001002,501,1922,113,152,13,37,78,1637
107868030001002,322,1068,214,109,58,49,81,1250
107750718001002,25,724,620,143,3,8,15,279
107804094001002,194,689,712,103,3,64,80,1386
107761662001002,64,1327,41,155,15,103,43,2120
107773438001002,363,1734,717,139,13,37,15,2078
107793342001002,140,1057,577,232,58,93,18,1242
107749118001002,25,724,430,135,5,84,15,208
107839166001002,262,879,1,34,5,40,61,455
107906366001002,527,1338,384,127,47,89,12,960
107837182001002,262,102,261,259,43,31,2,60
107907198001002,527,665,652,143,58,32,0,1619
107810814001002,206,2376,698,232,4,37,78,1209
107776638001002,486,1201,703,232,13,37,61,1811
107793022001002,18,724,261,145,36,82,15,2057
107915070001002,25,292,384,235,13,123,5,868
107619966001002,262,1649,392,136,30,69,36,830
107712254001002,163,1192,367,108,13,37,56,692
107915006001002,350,454,385,235,13,29,7,868
107915710001002,25,724,435,11,58,120,67,69
107836030001002,65,2288,383,127,13,66,82,2019
108106558001002,262,1368,111,47,54,25,8,1941
108105470001002,262,331,271,171,8,81,83,1874
107712126001002,262,1192,383,218,44,37,56,482
107990462001002,179,2374,695,53,45,92,5,579
108079678001002,207,363,271,214,8,25,1,282
108126590001002,279,204,115,157,32,84,51,442
108034110001002,94,1459,383,255,36,123,33,1929
108073342001002,206,1057,525,45,49,82,69,1149
107985918001002,312,724,698,248,58,120,70,1264
108010878001002,265,913,369,136,26,64,33,2077
108133374001002,279,685,109,22,23,59,19,809
107986046001002,25,2374,706,137,52,120,15,550
108131774001002,279,294,112,98,13,77,52,1404
108043646001002,140,528,652,143,52,2,62,204
108161918001002,367,427,109,100,32,104,71,615
108159358001002,96,793,317,105,26,3,80,603
108076222001002,179,2265,715,232,41,82,34,457
107984766001002,25,292,384,7,7,20,23,532
108199998001002,500,2188,406,259,58,120,41,870
108154174001002,322,1934,698,232,20,103,74,696
