PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
107624766001001,262,292,490,259,58,120,41,240
107690622001001,140,130,640,232,36,84,78,389
107811198001001,373,1057,597,232,13,37,15,1242
108064126001001,198,2376,555,53,43,45,15,1032
108004414001001,75,1321,271,232,7,20,43,437
107846142001001,279,614,712,95,13,37,15,633
108064574001001,198,2376,551,259,47,18,15,1688
108032510001001,94,1459,695,259,36,82,46,643
107682110001001,88,1321,271,232,7,17,15,437
107629566001001,279,79,695,232,49,82,15,1297
107846590001001,279,1177,695,232,39,82,15,985
107749950001001,242,2325,654,235,57,119,15,1594
107549374001001,382,547,488,184,1,27,15,1519
107808382001001,198,2285,536,259,22,20,15,1354
107740606001001,527,1642,574,9,36,82,15,248
107757310001001,41,128,525,232,57,119,13,236
107782142001001,116,574,695,184,36,82,45,2109
107998654001001,41,521,493,25,36,74,15,1939
107981630001001,21,1008,278,259,14,82,15,639
107971006001001,460,89,271,69,58,120,15,456
108104382001001,262,1666,713,259,4,120,15,231
108068094001001,198,79,695,53,45,92,62,1297
107680190001001,153,1508,242,232,36,27,15,627
107675262001001,75,292,369,232,13,22,15,544
107985982001001,25,1686,707,248,58,120,24,1876
108097214001001,241,1836,303,53,45,57,15,2064
108256702001001,322,1199,715,259,56,82,15,599
108052414001001,155,1006,608,259,8,71,15,1320
108232574001001,488,2363,674,232,58,120,15,1967
108384318001001,322,252,353,89,38,84,15,416
107980798001001,18,174,366,232,32,82,15,2050
108488766001001,530,1526,695,17,13,37,15,942
108347774001001,88,2042,698,184,23,54,15,554
108424254001001,140,130,640,232,38,84,46,389
108195006001001,522,1756,652,184,43,71,15,1178
107765694001001,79,592,271,246,24,10,15,2115
108134078001001,279,1261,652,184,36,12,58,1180
108162878001001,374,741,629,127,58,46,15,1036
108220350001001,93,1856,271,103,36,43,15,646
108524414001001,140,1245,706,188,57,119,15,2109
108351550001001,124,1307,703,99,38,93,15,1765
108461182001001,279,2374,707,184,56,37,15,941
108260350001001,356,1686,695,53,42,82,15,1876
108485950001001,527,1065,490,127,56,27,15,569
108272382001001,527,849,703,232,28,120,15,556
108217214001001,88,1321,271,173,7,20,15,87
108289214001001,124,591,574,259,58,15,15,578
108209918001001,41,704,693,245,36,27,15,1440
108607614001001,78,1321,271,99,36,82,50,87
108444670001001,248,130,640,232,48,36,15,389
108417406001001,94,39,620,209,58,120,15,2085
107617982001001,249,480,650,247,45,27,1,781
108328446001001,413,535,536,184,36,44,74,915
107966910001001,402,434,330,89,12,36,15,1688
108429054001001,180,1099,608,235,12,27,67,777
107980478001001,17,173,406,184,36,82,18,934
107767038001001,473,1373,698,184,58,80,15,73
107663230001001,527,1940,406,259,58,120,25,1061
107867390001001,322,682,205,259,58,120,30,629
107719806001001,279,1838,713,202,21,11,15,231
107714174001001,263,1360,381,232,36,121,15,1209
107986302001001,25,724,255,232,58,120,32,110
107790142001001,245,724,261,232,45,92,15,110
108206142001001,25,724,718,71,24,82,15,659
108046590001001,140,724,695,232,53,37,15,110
108018814001001,97,1934,444,184,36,10,15,110
108343742001001,378,1474,695,184,58,27,15,985
108417342001001,192,2376,707,127,43,109,15,132
108532286001001,169,603,397,248,58,120,15,1061
108340030001001,25,1249,574,71,31,120,15,1271
108573758001001,351,837,715,259,32,30,15,645
108532478001001,198,849,703,232,41,36,15,556
108706750001001,460,1400,703,239,58,120,15,1791
107547710001001,353,1496,604,81,8,25,80,603
107494526001001,88,524,707,259,38,66,15,2082
107494270001001,88,524,706,127,38,29,82,185
107621054001001,502,2069,382,171,13,37,7,1112
107595518001001,140,724,261,259,51,2,15,567
107638654001001,310,1653,695,259,10,50,15,639
107593214001001,140,815,97,229,2,2,69,411
107563902001001,242,92,703,207,26,64,33,1153
107615422001001,241,1201,699,259,11,37,15,639
107628222001001,443,1443,1,97,7,20,3,1139
107566910001001,25,1260,384,75,7,20,51,1112
107638334001001,310,1734,698,134,12,36,15,1811
107661886001001,527,1854,652,232,58,120,5,1584
107631422001001,279,294,112,220,21,45,52,1404
107624318001001,262,1552,383,102,13,37,56,1900
107669182001001,25,1334,371,235,7,72,37,299
107669566001001,25,528,652,143,36,3,74,310
107668286001001,25,292,382,235,20,37,7,811
107682622001001,479,1057,558,232,36,82,15,1242
107714878001001,276,2374,712,127,7,65,15,645
107685310001001,94,1459,715,232,1,82,34,725
107686846001001,98,624,388,229,36,82,80,623
107878462001001,387,1969,287,134,15,40,31,1855
107750974001001,25,1902,103,235,10,30,44,1512
107863102001001,310,2142,8,255,31,119,82,1521
107867262001001,440,752,263,232,58,25,34,1718
107749886001001,154,724,698,248,38,84,74,1264
107829502001001,241,1068,713,232,45,49,51,1250
107818110001001,207,1953,566,53,47,62,69,1411
107909374001001,527,1184,699,259,58,17,34,324
107854654001001,193,1368,111,36,43,90,4,1941
107762174001001,68,2043,597,100,19,64,80,1618
107874046001001,354,32,465,215,49,120,69,82
107860862001001,310,796,653,53,47,95,51,767
107836414001001,156,7,101,6,13,27,70,1458
107851134001001,279,1922,113,152,13,37,5,1637
107867326001001,322,2325,654,4,58,120,15,1594
107748670001001,25,1057,555,151,29,120,69,1149
107750718001001,495,724,620,143,23,59,15,279
107867134001001,322,224,707,232,41,95,15,1208
107773438001001,88,1734,717,184,39,37,15,2078
107777982001001,94,977,652,173,58,120,15,1180
107779390001001,136,1459,715,259,47,95,34,374
